,vote margin,null margin,sample size,popsize,invalid_rate,1% rejection rate - tri,5% rejection rate - tri,10% rejection rate - tri,1% rejection rate - cond,5% rejection rate - cond,10% rejection rate - cond
0,0.01,0.0,10.0,1000.0,0.1,0.01,0.03,0.08,0.03,0.13,0.22
1,0.01,10.0,10.0,1000.0,0.1,0.01,0.01,0.04,0.01,0.06,0.06
2,0.01,0.0,50.0,1000.0,0.1,0.0,0.02,0.06,0.05,0.25,0.55
3,0.01,10.0,50.0,1000.0,0.1,0.01,0.04,0.12,0.07,0.23,0.48
4,0.01,0.0,100.0,1000.0,0.1,0.0,0.02,0.09,0.06,0.35,0.7
5,0.01,10.0,100.0,1000.0,0.1,0.0,0.03,0.07,0.05,0.34,0.66
6,0.01,0.0,200.0,1000.0,0.1,0.01,0.05,0.11,0.1,0.59,0.97
7,0.01,10.0,200.0,1000.0,0.1,0.02,0.06,0.1,0.1,0.48,0.92
8,0.01,0.0,10.0,1000.0,0.25,0.0,0.0,0.02,0.0,0.07,0.12
9,0.01,10.0,10.0,1000.0,0.25,0.0,0.01,0.09,0.01,0.15,0.23
10,0.01,0.0,50.0,1000.0,0.25,0.0,0.02,0.05,0.06,0.33,0.69
11,0.01,10.0,50.0,1000.0,0.25,0.01,0.02,0.06,0.04,0.35,0.77
12,0.01,0.0,100.0,1000.0,0.25,0.0,0.05,0.14,0.15,0.5,0.98
13,0.01,10.0,100.0,1000.0,0.25,0.0,0.02,0.09,0.1,0.45,1.0
14,0.01,0.0,200.0,1000.0,0.25,0.02,0.06,0.13,0.22,0.72,1.0
15,0.01,10.0,200.0,1000.0,0.25,0.01,0.05,0.07,0.17,0.56,1.0
16,0.01,0.0,10.0,1000.0,0.5,0.0,0.0,0.02,0.01,0.17,0.35
17,0.01,10.0,10.0,1000.0,0.5,0.0,0.0,0.02,0.01,0.08,0.19
18,0.01,0.0,50.0,1000.0,0.5,0.0,0.0,0.01,0.03,0.43,0.82
19,0.01,10.0,50.0,1000.0,0.5,0.0,0.0,0.02,0.04,0.24,0.81
20,0.01,0.0,100.0,1000.0,0.5,0.0,0.02,0.06,0.14,0.53,1.0
21,0.01,10.0,100.0,1000.0,0.5,0.0,0.01,0.02,0.06,0.51,1.0
22,0.01,0.0,200.0,1000.0,0.5,0.0,0.01,0.05,0.15,0.77,1.0
23,0.01,10.0,200.0,1000.0,0.5,0.0,0.01,0.07,0.13,0.71,1.0
24,0.05,0.0,10.0,1000.0,0.1,0.0,0.0,0.09,0.0,0.09,0.18
25,0.05,10.0,10.0,1000.0,0.1,0.01,0.04,0.13,0.03,0.12,0.16
26,0.05,0.0,50.0,1000.0,0.1,0.01,0.06,0.14,0.08,0.33,0.58
27,0.05,10.0,50.0,1000.0,0.1,0.01,0.09,0.13,0.1,0.29,0.57
28,0.05,0.0,100.0,1000.0,0.1,0.01,0.08,0.15,0.1,0.53,0.82
29,0.05,10.0,100.0,1000.0,0.1,0.01,0.06,0.17,0.1,0.48,0.83
30,0.05,0.0,200.0,1000.0,0.1,0.04,0.18,0.26,0.27,0.76,0.99
31,0.05,10.0,200.0,1000.0,0.1,0.04,0.09,0.18,0.19,0.53,0.92
32,0.05,0.0,10.0,1000.0,0.25,0.0,0.01,0.07,0.02,0.12,0.32
33,0.05,10.0,10.0,1000.0,0.25,0.0,0.0,0.05,0.0,0.14,0.26
34,0.05,0.0,50.0,1000.0,0.25,0.0,0.06,0.09,0.08,0.37,0.77
35,0.05,10.0,50.0,1000.0,0.25,0.01,0.03,0.11,0.1,0.44,0.76
36,0.05,0.0,100.0,1000.0,0.25,0.03,0.13,0.21,0.26,0.69,0.99
37,0.05,10.0,100.0,1000.0,0.25,0.01,0.04,0.12,0.16,0.53,0.95
38,0.05,0.0,200.0,1000.0,0.25,0.04,0.2,0.3,0.45,0.87,1.0
39,0.05,10.0,200.0,1000.0,0.25,0.03,0.09,0.15,0.21,0.76,1.0
40,0.05,0.0,10.0,1000.0,0.5,0.0,0.0,0.0,0.0,0.11,0.29
