,vote margin,null margin,null_is_true,invalid_rate,1% rejection rate,5% rejection rate,10% rejection rate
0,0.01,-0.2,0.0,0.1,0.832,0.948,0.973
1,0.01,-0.1,0.0,0.1,0.244,0.495,0.641
2,0.01,-0.05,0.0,0.1,0.085,0.248,0.362
3,0.01,-0.01,0.0,0.1,0.018,0.087,0.162
4,0.01,0.0,0.0,0.1,0.016,0.071,0.149
5,0.01,0.01,1.0,0.1,0.015,0.065,0.12
6,0.01,0.05,1.0,0.1,0.001,0.014,0.042
7,0.01,0.1,1.0,0.1,0.0,0.001,0.004
8,0.01,0.2,1.0,0.1,0.0,0.0,0.0
9,0.01,-0.2,0.0,0.2,0.841,0.951,0.976
10,0.01,-0.1,0.0,0.2,0.244,0.519,0.691
11,0.01,-0.05,0.0,0.2,0.058,0.197,0.333
12,0.01,-0.01,0.0,0.2,0.016,0.08,0.155
13,0.01,0.0,0.0,0.2,0.012,0.069,0.128
14,0.01,0.01,1.0,0.2,0.005,0.043,0.09
15,0.01,0.05,1.0,0.2,0.001,0.008,0.026
16,0.01,0.1,1.0,0.2,0.001,0.001,0.002
17,0.01,0.2,1.0,0.2,0.0,0.0,0.0
18,0.05,-0.2,0.0,0.1,0.933,0.984,0.995
19,0.05,-0.1,0.0,0.1,0.496,0.731,0.854
20,0.05,-0.05,0.0,0.1,0.229,0.472,0.601
21,0.05,-0.01,0.0,0.1,0.086,0.235,0.334
22,0.05,0.0,0.0,0.1,0.068,0.202,0.315
23,0.05,0.01,0.0,0.1,0.044,0.154,0.27
24,0.05,0.05,1.0,0.1,0.017,0.052,0.114
25,0.05,0.1,1.0,0.1,0.002,0.011,0.028
26,0.05,0.2,1.0,0.1,0.0,0.001,0.001
27,0.05,-0.2,0.0,0.2,0.953,0.991,0.997
28,0.05,-0.1,0.0,0.2,0.504,0.757,0.858
29,0.05,-0.05,0.0,0.2,0.202,0.466,0.628
30,0.05,-0.01,0.0,0.2,0.084,0.252,0.381
31,0.05,0.0,0.0,0.2,0.058,0.205,0.329
32,0.05,0.01,0.0,0.2,0.034,0.147,0.247
33,0.05,0.05,1.0,0.2,0.008,0.04,0.093
34,0.05,0.1,1.0,0.2,0.001,0.007,0.017
35,0.05,0.2,1.0,0.2,0.0,0.0,0.0
36,0.1,-0.2,0.0,0.1,0.991,0.997,1.0
37,0.1,-0.1,0.0,0.1,0.769,0.906,0.956
38,0.1,-0.05,0.0,0.1,0.518,0.764,0.861
39,0.1,-0.01,0.0,0.1,0.265,0.535,0.673
40,0.1,0.0,0.0,0.1,0.187,0.427,0.591
41,0.1,0.01,0.0,0.1,0.187,0.401,0.546
42,0.1,0.05,0.0,0.1,0.053,0.182,0.299
43,0.1,0.1,1.0,0.1,0.013,0.054,0.106
44,0.1,0.2,1.0,0.1,0.0,0.0,0.001
45,0.1,-0.2,0.0,0.2,0.996,1.0,1.0
46,0.1,-0.1,0.0,0.2,0.764,0.931,0.972
47,0.1,-0.05,0.0,0.2,0.466,0.746,0.864
48,0.1,-0.01,0.0,0.2,0.255,0.501,0.655
49,0.1,0.0,0.0,0.2,0.207,0.472,0.623
50,0.1,0.01,0.0,0.2,0.144,0.38,0.52
51,0.1,0.05,0.0,0.2,0.056,0.188,0.299
52,0.1,0.1,1.0,0.2,0.008,0.037,0.092
53,0.1,0.2,1.0,0.2,0.0,0.001,0.002
54,0.2,-0.2,0.0,0.1,1.0,1.0,1.0
55,0.2,-0.1,0.0,0.1,0.988,0.996,0.999
56,0.2,-0.05,0.0,0.1,0.922,0.984,0.991
57,0.2,-0.01,0.0,0.1,0.816,0.935,0.968
58,0.2,0.0,0.0,0.1,0.75,0.915,0.965
59,0.2,0.01,0.0,0.1,0.703,0.877,0.933
60,0.2,0.05,0.0,0.1,0.509,0.779,0.891
61,0.2,0.1,0.0,0.1,0.209,0.462,0.61
62,0.2,0.2,1.0,0.1,0.011,0.059,0.11
63,0.2,-0.2,0.0,0.2,1.0,1.0,1.0
64,0.2,-0.1,0.0,0.2,0.993,0.999,1.0
65,0.2,-0.05,0.0,0.2,0.939,0.991,0.998
66,0.2,-0.01,0.0,0.2,0.818,0.947,0.975
67,0.2,0.0,0.0,0.2,0.773,0.923,0.968
68,0.2,0.01,0.0,0.2,0.725,0.902,0.95
69,0.2,0.05,0.0,0.2,0.51,0.737,0.852
70,0.2,0.1,0.0,0.2,0.216,0.483,0.633
71,0.2,0.2,1.0,0.2,0.008,0.046,0.093
